Mean,Variance,Skewness,Kurtosis,ADF Statistic,ADF p-value,JB Statistic,JB p-value,Ljung__ox Q Statistic_1,Ljung__ox Q p-value_1,ARCH LM Statistic_1,ARCH LM p-value_1,L1_1,L1_2,L2_1,L2_2,L3_1,L3_2,L4_1,L4_2,L5_1,L5_2,L6_1,L6_2,L7_1,L7_2,L8_1,L8_2,L9_1,L9_2,L10_1,L10_2,L11_1,L11_2,L12_1,L12_2,L13_1,L13_2,L14_1,L14_2,L15_1,L15_2,Ljung__ox Q Statistic_2,Ljung__ox Q p-value_2,ARCH LM Statistic_2,ARCH LM p-value_2,mu,omega,alpha[1],beta[1],a_dcc,b_dcc,Ljung__ox Q Statistic_3,Ljung__ox Q p-value_3,ARCH LM Statistic_3,ARCH LM p-value_3
0.000 ,0.000 ,-0.988 ,18.795 ,-7.534 ,0.000 ,14301.621 ,0.000 ,234.381 ,0.000 ,387.827 ,0.000 ,-0.110 ,0.006 ,0.119 ,-0.032 ,0.039 ,0.014 ,-0.070 ,0.006 ,0.040 ,-0.038 ,-0.084 ,-0.011 ,0.140 ,-0.042 ,-0.083 ,-0.022 ,0.120 ,0.027 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,1.263 ,1.000 ,311.286 ,0.000 ,0.026 ,0.064 ,0.147 ,0.809 ,0.007 ,0.989 ,27.285 ,0.002 ,4.630 ,0.914 
0.000 ,0.000 ,-0.493 ,3.692 ,-31.004 ,0.000 ,584.728 ,0.000 ,2.962 ,0.982 ,19.961 ,0.030 ,0.128 ,-0.030 ,0.064 ,-0.017 ,0.003 ,0.010 ,-0.009 ,-0.035 ,0.063 ,-0.049 ,-0.016 ,-0.005 ,0.032 ,0.022 ,-0.037 ,0.013 ,-0.033 ,0.004 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.044 ,1.000 ,19.105 ,0.039 ,-0.007 ,0.123 ,0.099 ,0.833 ,0.007 ,0.989 ,1.465 ,0.999 ,4.982 ,0.892 
0.000 ,0.000 ,-0.608 ,10.367 ,-10.128 ,0.000 ,4262.934 ,0.000 ,55.351 ,0.000 ,267.089 ,0.000 ,0.009 ,-0.043 ,0.092 ,-0.023 ,-0.007 ,0.018 ,-0.006 ,-0.021 ,0.034 ,-0.019 ,-0.134 ,-0.034 ,0.074 ,0.003 ,-0.087 ,0.063 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,3.457 ,0.969 ,239.491 ,0.000 ,0.081 ,0.034 ,0.094 ,0.900 ,0.011 ,0.955 ,10.015 ,0.439 ,3.619 ,0.963 
0.000 ,0.000 ,-0.116 ,2.588 ,-30.233 ,0.000 ,264.119 ,0.000 ,10.388 ,0.407 ,27.397 ,0.002 ,0.187 ,-0.019 ,0.001 ,-0.020 ,0.020 ,0.043 ,-0.064 ,-0.054 ,0.040 ,-0.013 ,-0.029 ,-0.051 ,0.000 ,0.026 ,0.024 ,-0.021 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,3.185 ,0.977 ,24.727 ,0.006 ,-0.011 ,0.147 ,0.082 ,0.880 ,0.011 ,0.955 ,4.990 ,0.892 ,8.955 ,0.536 
0.000 ,0.000 ,-4.203 ,62.053 ,-21.079 ,0.000 ,153417.861 ,0.000 ,16.030 ,0.099 ,2.488 ,0.991 ,-0.044 ,-0.024 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,13.253 ,0.210 ,2.693 ,0.988 ,-0.010 ,0.102 ,0.159 ,0.841 ,0.006 ,0.991 ,7.260 ,0.701 ,1.040 ,1.000 
0.000 ,0.000 ,-0.759 ,4.987 ,-30.316 ,0.000 ,1063.155 ,0.000 ,3.531 ,0.966 ,11.157 ,0.345 ,0.090 ,-0.003 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,3.804 ,0.956 ,9.797 ,0.459 ,-0.036 ,0.087 ,0.057 ,0.905 ,0.006 ,0.991 ,2.076 ,0.996 ,3.877 ,0.953 
0.001 ,0.001 ,1.389 ,26.891 ,-31.077 ,0.000 ,28593.150 ,0.000 ,17.447 ,0.065 ,0.877 ,1.000 ,-0.009 ,-0.051 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,16.752 ,0.080 ,0.933 ,1.000 ,0.079 ,0.078 ,0.022 ,0.971 ,0.036 ,0.843 ,16.784 ,0.079 ,0.736 ,1.000 
0.001 ,0.001 ,0.439 ,5.030 ,-30.681 ,0.000 ,1019.988 ,0.000 ,11.639 ,0.310 ,57.290 ,0.000 ,0.141 ,-0.033 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,10.250 ,0.419 ,45.260 ,0.000 ,-0.008 ,0.185 ,0.047 ,0.926 ,0.036 ,0.843 ,7.126 ,0.713 ,7.290 ,0.698 
0.000 ,0.001 ,-0.861 ,11.453 ,-7.537 ,0.000 ,5247.576 ,0.000 ,62.639 ,0.000 ,258.391 ,0.000 ,0.058 ,-0.039 ,0.148 ,-0.063 ,0.011 ,-0.022 ,-0.006 ,0.027 ,0.002 ,0.001 ,-0.141 ,-0.046 ,0.106 ,-0.065 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,11.469 ,0.322 ,244.030 ,0.000 ,0.057 ,0.056 ,0.074 ,0.915 ,0.006 ,0.990 ,16.768 ,0.080 ,7.592 ,0.669 
0.000 ,0.000 ,-0.527 ,5.081 ,-29.933 ,0.000 ,1053.529 ,0.000 ,5.095 ,0.885 ,7.235 ,0.703 ,0.192 ,-0.015 ,-0.005 ,-0.024 ,0.026 ,0.018 ,-0.017 ,-0.038 ,0.037 ,0.002 ,0.021 ,-0.017 ,-0.012 ,-0.010 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.678 ,0.988 ,4.766 ,0.906 ,-0.008 ,0.225 ,0.034 ,0.911 ,0.006 ,0.990 ,3.125 ,0.978 ,1.547 ,0.999 
0.000 ,0.000 ,-1.167 ,12.963 ,-7.867 ,0.000 ,6787.292 ,0.000 ,110.407 ,0.000 ,239.852 ,0.000 ,-0.077 ,0.012 ,0.097 ,0.033 ,-0.001 ,-0.006 ,-0.071 ,-0.008 ,0.035 ,0.003 ,-0.103 ,0.030 ,0.030 ,0.006 ,-0.076 ,-0.019 ,0.120 ,-0.027 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,7.370 ,0.690 ,175.843 ,0.000 ,0.042 ,0.100 ,0.164 ,0.795 ,0.038 ,0.757 ,20.136 ,0.028 ,3.106 ,0.979 
0.001 ,0.000 ,-0.229 ,0.987 ,-29.353 ,0.000 ,46.346 ,0.000 ,8.079 ,0.621 ,30.245 ,0.001 ,0.144 ,0.037 ,-0.001 ,-0.024 ,-0.032 ,-0.039 ,-0.011 ,0.024 ,0.011 ,-0.040 ,-0.011 ,-0.040 ,0.071 ,0.017 ,-0.041 ,0.027 ,-0.035 ,0.017 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.295 ,1.000 ,29.233 ,0.001 ,0.001 ,0.096 ,0.062 ,0.904 ,0.038 ,0.757 ,0.947 ,1.000 ,2.610 ,0.989 